amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2016,year,2016,,heading,1,OPERATING REVENUE,0100,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,2,Property Rates,0200,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,3,Property Rates - Penalties And Collection Charges,0300,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,4,Service Charges,0400,West Coast,DC1,113875025
Audited Actual,AUDA,2016,year,2016,,line_item,5,Rent Of Facilities And Equipment,0700,West Coast,DC1,3035663
Audited Actual,AUDA,2016,year,2016,,line_item,6,Interest Earned - External Investments,0800,West Coast,DC1,17176155
Audited Actual,AUDA,2016,year,2016,,line_item,7,Interest Earned - Outstanding Debtors,1000,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,8,Dividends Received,1100,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,9,Fines,1300,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,10,Licenses and Permits,1400,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,11,Agency Services,1500,West Coast,DC1,145936197
Audited Actual,AUDA,2016,year,2016,,line_item,12,Transfers Recognised - Operating,1600,West Coast,DC1,88127238
Audited Actual,AUDA,2016,year,2016,,line_item,13,Transfers Recognised - Capital,1610,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,14,Other Revenue,1700,West Coast,DC1,7712965
Audited Actual,AUDA,2016,year,2016,,line_item,15,"Gain On Disposal Of Property, Plant & Equipment",1800,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,"sum(0200, 0300, 0400, 0700, 0800, 1000, 1100, 1300, 1400, 1500, 1600, 1610, 1700, 1800)",subtotal,16,Total Operating Revenue Generated,1900,West Coast,DC1,375863243
Audited Actual,AUDA,2016,year,2016,,line_item,17,Less Revenue Foregone,2000,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,1900 - 2000 or 1900 + 2000 depending on the sign on 2000 such that 2100 < 1900,subtotal,18,Total Direct Operating Revenue,2100,West Coast,DC1,375863243
Audited Actual,AUDA,2016,year,2016,,heading,19,INTERNAL TRANSFERS – (must net out with corresp. items under,2200,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,20,Interest Received - Internal Loans,2300,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,21,Internal Recoveries (Activity Based Costing Etc),2500,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,22,Dividends Received - Internal (From Municipal Entities),2600,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,"sum(2300, 2500, 2600)",subtotal,23,Total Indirect Operating Revenue,2700,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,"sum(2100, 2700)",subtotal,24,Total Operating Revenue,2800,West Coast,DC1,375863243
Audited Actual,AUDA,2016,year,2016,,heading,25,OPERATING EXPENDITURE,2900,West Coast,DC1,0
Audited Actual,AUDA,2016,year,2016,,line_item,26,Employee Related Costs - Wages & Salaries,3000,West Coast,DC1,145540680
Audited Actual,AUDA,2016,year,2016,,line_item,27,Employee Related Costs - Social Contributions,3100,West Coast,DC1,0
