amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2014,year,2014,,heading,1,OPERATING REVENUE,0100,Buffalo City,BUF,0
Audited Actual,AUDA,2014,year,2014,,line_item,2,Property Rates,0200,Buffalo City,BUF,672956899
Audited Actual,AUDA,2014,year,2014,,line_item,3,Property Rates - Penalties And Collection Charges,0300,Buffalo City,BUF,0
Audited Actual,AUDA,2014,year,2014,,line_item,4,Service Charges,0400,Buffalo City,BUF,2198960298
Audited Actual,AUDA,2014,year,2014,,line_item,5,Rent Of Facilities And Equipment,0700,Buffalo City,BUF,15017944
Audited Actual,AUDA,2014,year,2014,,line_item,6,Interest Earned - External Investments,0800,Buffalo City,BUF,96521752
Audited Actual,AUDA,2014,year,2014,,line_item,7,Interest Earned - Outstanding Debtors,1000,Buffalo City,BUF,27177505
Audited Actual,AUDA,2014,year,2014,,line_item,8,Dividends Received,1100,Buffalo City,BUF,0
Audited Actual,AUDA,2014,year,2014,,line_item,9,Fines,1300,Buffalo City,BUF,7571936
Audited Actual,AUDA,2014,year,2014,,line_item,10,Licenses and Permits,1400,Buffalo City,BUF,14160877
Audited Actual,AUDA,2014,year,2014,,line_item,11,Agency Services,1500,Buffalo City,BUF,0
Audited Actual,AUDA,2014,year,2014,,line_item,12,Transfers Recognised - Operating,1600,Buffalo City,BUF,812166736
Audited Actual,AUDA,2014,year,2014,,line_item,13,Transfers Recognised - Capital,1610,Buffalo City,BUF,734502789
Audited Actual,AUDA,2014,year,2014,,line_item,14,Other Revenue,1700,Buffalo City,BUF,696252362
Audited Actual,AUDA,2014,year,2014,,line_item,15,"Gain On Disposal Of Property, Plant & Equipment",1800,Buffalo City,BUF,12083819
Audited Actual,AUDA,2014,year,2014,"sum(0200, 0300, 0400, 0700, 0800, 1000, 1100, 1300, 1400, 1500, 1600, 1610, 1700, 1800)",subtotal,16,Total Operating Revenue Generated,1900,Buffalo City,BUF,5287372917
Audited Actual,AUDA,2014,year,2014,,line_item,17,Less Revenue Foregone,2000,Buffalo City,BUF,0
Audited Actual,AUDA,2014,year,2014,1900 - 2000 or 1900 + 2000 depending on the sign on 2000 such that 2100 < 1900,subtotal,18,Total Direct Operating Revenue,2100,Buffalo City,BUF,5287372917
Audited Actual,AUDA,2014,year,2014,,heading,19,INTERNAL TRANSFERS – (must net out with corresp. items under,2200,Buffalo City,BUF,0
