amount_type.label,amount_type.code,financial_period.period,period_length.length,financial_year_end.year,item.composition,item.return_form_structure,item.position_in_return_form,item.label,item.code,demarcation.label,demarcation.code,amount.sum
Audited Actual,AUDA,2016,year,2016,,heading,1,OPERATING REVENUE,0100,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,2,Property Rates,0200,Buffalo City,BUF,906093625
Audited Actual,AUDA,2016,year,2016,,line_item,3,Property Rates - Penalties And Collection Charges,0300,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,4,Service Charges,0400,Buffalo City,BUF,2758688507
Audited Actual,AUDA,2016,year,2016,,line_item,5,Rent Of Facilities And Equipment,0700,Buffalo City,BUF,16583410
Audited Actual,AUDA,2016,year,2016,,line_item,6,Interest Earned - External Investments,0800,Buffalo City,BUF,154706454
Audited Actual,AUDA,2016,year,2016,,line_item,7,Interest Earned - Outstanding Debtors,1000,Buffalo City,BUF,32661327
Audited Actual,AUDA,2016,year,2016,,line_item,8,Dividends Received,1100,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,9,Fines,1300,Buffalo City,BUF,5593754
Audited Actual,AUDA,2016,year,2016,,line_item,10,Licenses and Permits,1400,Buffalo City,BUF,12611826
Audited Actual,AUDA,2016,year,2016,,line_item,11,Agency Services,1500,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,12,Transfers Recognised - Operating,1600,Buffalo City,BUF,1334131275
Audited Actual,AUDA,2016,year,2016,,line_item,13,Transfers Recognised - Capital,1610,Buffalo City,BUF,670393964
Audited Actual,AUDA,2016,year,2016,,line_item,14,Other Revenue,1700,Buffalo City,BUF,305253324
Audited Actual,AUDA,2016,year,2016,,line_item,15,"Gain On Disposal Of Property, Plant & Equipment",1800,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,"sum(0200, 0300, 0400, 0700, 0800, 1000, 1100, 1300, 1400, 1500, 1600, 1610, 1700, 1800)",subtotal,16,Total Operating Revenue Generated,1900,Buffalo City,BUF,6196717466
Audited Actual,AUDA,2016,year,2016,,line_item,17,Less Revenue Foregone,2000,Buffalo City,BUF,33739241
Audited Actual,AUDA,2016,year,2016,1900 - 2000 or 1900 + 2000 depending on the sign on 2000 such that 2100 < 1900,subtotal,18,Total Direct Operating Revenue,2100,Buffalo City,BUF,6162978225
Audited Actual,AUDA,2016,year,2016,,heading,19,INTERNAL TRANSFERS – (must net out with corresp. items under,2200,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,20,Interest Received - Internal Loans,2300,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,21,Internal Recoveries (Activity Based Costing Etc),2500,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,22,Dividends Received - Internal (From Municipal Entities),2600,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,"sum(2300, 2500, 2600)",subtotal,23,Total Indirect Operating Revenue,2700,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,"sum(2100, 2700)",subtotal,24,Total Operating Revenue,2800,Buffalo City,BUF,6162978225
Audited Actual,AUDA,2016,year,2016,,heading,25,OPERATING EXPENDITURE,2900,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,26,Employee Related Costs - Wages & Salaries,3000,Buffalo City,BUF,1197010646
Audited Actual,AUDA,2016,year,2016,,line_item,27,Employee Related Costs - Social Contributions,3100,Buffalo City,BUF,214201019
Audited Actual,AUDA,2016,year,2016,,line_item,28,Less Employee Costs Capitalised,3200,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,29,Less Employee Costs Allocated To Other Operating Items,3300,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,30,Remuneration Of Councillors,3400,Buffalo City,BUF,53845309
Audited Actual,AUDA,2016,year,2016,,line_item,31,Debt Impairment,3500,Buffalo City,BUF,210111415
Audited Actual,AUDA,2016,year,2016,,line_item,32,Collection Costs,3600,Buffalo City,BUF,29224814
Audited Actual,AUDA,2016,year,2016,,line_item,33,Depreciation and Asset Impairment,3700,Buffalo City,BUF,857418573
Audited Actual,AUDA,2016,year,2016,,line_item,34,Interest Expense - External Borrowings,3900,Buffalo City,BUF,63334555
Audited Actual,AUDA,2016,year,2016,,line_item,35,Redemption Payments - External Borrowings (Gamap To Remove),4000,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,36,Bulk Purchases,4100,Buffalo City,BUF,1426744459
Audited Actual,AUDA,2016,year,2016,,line_item,37,Other Materials,4110,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,38,Contracted Services,4200,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,39,Grants and Subsidies,4300,Buffalo City,BUF,240921910
Audited Actual,AUDA,2016,year,2016,,line_item,40,Other Expenditure,4400,Buffalo City,BUF,1224636325
Audited Actual,AUDA,2016,year,2016,,line_item,41,"Loss On Disposal Of Property, Plant & Equipment",4500,Buffalo City,BUF,499569
Audited Actual,AUDA,2016,year,2016,,line_item,42,Contributions To/(From) Provisions,4550,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,"sum(3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3900, 4000, 4100, 4110, 4200, 4300, 4400, 4500, 4550)",subtotal,43,Total Direct Operating Expenditure,4600,Buffalo City,BUF,5517948594
Audited Actual,AUDA,2016,year,2016,,heading,44,INTERNAL TRANSFERS - (must net out with corresp. items under,4700,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,45,Interest - Internal Borrowings,4800,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,46,Internal Charges (Activity Based Costing Etc),5000,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,,line_item,47,Contributed Assets,5010,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,"sum(4800, 5000, 5010)",subtotal,48,Total Indirect Operating Expenditure,5100,Buffalo City,BUF,0
Audited Actual,AUDA,2016,year,2016,"sum(4600, 5100)",subtotal,49,Total Operating Expenditure,5200,Buffalo City,BUF,5517948594
